#,Module,Function,TestCase,Node,Type
1,system/test_lldp.py,test_ft_lldp_LocManAddrLen,ft_lldp_LocManAddrLen,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
2,system/test_lldp.py,test_ft_lldp_LocManAddrlfld,ft_lldp_LocManAddrlfld,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
3,system/test_lldp.py,test_ft_lldp_LocManAddrEntry,ft_lldp_LocManAddrEntry,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
4,system/test_lldp.py,test_ft_lldp_ConfigManAddrEntry,ft_lldp_ConfigManAddrEntry,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
5,system/test_lldp.py,test_ft_lldp_lldplocportid,ft_lldp_lldplocportid,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
6,system/test_lldp.py,test_ft_lldp_lldplocsysname,ft_lldp_lldplocsysname,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
7,system/test_lldp.py,test_ft_lldp_lldplocsysdesc,ft_lldp_lldplocsysdesc,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
8,system/test_lldp.py,test_ft_lldp_rem_man_addr_table,ft_snmp_lldp_prem_manaddr_table,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
9,system/test_lldp.py,test_ft_lldp_non_default_config,FtOpSoSwlldpFn004,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
10,system/test_lldp.py,test_ft_lldp_non_default_config,FtOpSoSwlldpFn008,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
11,system/test_lldp.py,test_ft_lldp_non_default_config,FtOpSoSwlldpFn009,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
12,system/test_lldp.py,test_ft_lldp_non_default_config,FtOpSoSwlldpFn010,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
13,system/test_lldp.py,test_ft_lldp_non_default_config,FtOpSoSwlldpFn011,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
14,system/test_lldp.py,test_ft_lldp_docker_restart,FtOpSoSwlldpFn013,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
15,system/test_lldp.py,test_lldp_verify_counters,lldp_verify_counters,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
16,system/test_lldp.py,test_ft_lldp_with_remote_server,ft_lldp_with_remote_server,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
