#,Node,Module,DUTs,MEM-INITIAL,MEM-FINAL,MEM-DIFF,CPU-INITIAL,CPU-FINAL,CPU-DIFF
1,gw4,routing/test_ndp.py,1,NE,NE,NE,NE,NE,NE
2,gw5,qos/test_qos_save_reboot.py,1,NE,NE,NE,NE,NE,NE
3,gw7,routing/NAT/test_nat.py,1,NE,NE,NE,NE,NE,NE
4,gw7,routing/test_arp.py,1,NE,NE,NE,NE,NE,NE
5,gw6,routing/test_l3_performance.py,1,NE,NE,NE,NE,NE,NE
6,gw6,system/test_device_mgmt.py,1,NE,NE,NE,NE,NE,NE
7,gw2,routing/VRF/test_vrf_scale.py,2,NE,NE,NE,NE,NE,NE
8,gw2,system/test_sflow.py,2,NE,NE,NE,NE,NE,NE
9,gw2,routing/BGP/test_bgp_rr_traffic.py,2,NE,NE,NE,NE,NE,NE
10,gw1,routing/BGP/test_bgp_4node.py,4,NE,NE,NE,NE,NE,NE
11,gw3,routing/BGP/test_bgp.py,2,NE,NE,NE,NE,NE,NE
12,gw3,routing/VRF/test_vrf.py,2,NE,NE,NE,NE,NE,NE
13,gw3,routing/test_ip.py,2,NE,NE,NE,NE,NE,NE
14,gw3,sanity/test_sanity_l3.py,2,NE,NE,NE,NE,NE,NE
