#,Module,Bucket,Functions,Tests,Pref,Topology,Nodes
1,routing/BGP/test_bgp_4node.py,4,5,6,1,D1D2:1 D2D3:1 D2D4:1 D3D4:1 D3D1:1 TGEN=ixia,gw1
2,routing/BGP/test_bgp.py,2,35,52,1,D1D2:1 D1T1:1 D2T1:1 TGEN=ixia,gw2 gw3
3,system/test_sflow.py,2,3,4,1,D1T1:1 D2T1:2 D1D2:1 TGCARD=stc|novus10,gw2 gw3
4,routing/test_ip.py,2,7,20,1,D1T1:2 D2T1:2 D1D2:4 CHIP=TD3 TGEN=ixia,gw2 gw3
5,routing/VRF/test_vrf_scale.py,2,4,6,1,D1D2:4 D1T1:2 D2T1:2 CHIP_REV=!X2,gw2 gw3
6,routing/VRF/test_vrf.py,2,5,17,1,D1D2:4 D1T1:2 D2T1:2 TGEN=ixia,gw2 gw3
7,routing/BGP/test_bgp_rr_traffic.py,2,1,1,1,D1D2:1 D1T1:1 D2T1:1 TGEN=ixia,gw2 gw3
8,sanity/test_sanity_l3.py,2,1,1,1,D1D2:1 D1T1:1 D2T1:1,gw2 gw3
9,system/test_device_mgmt.py,1,1,1,1,D1,gw4 gw5 gw6 gw7
10,routing/NAT/test_nat.py,1,1,3,1,D1T1:2 CHIP=TD2|TD3|TH2|TH1 MODEL1=ent TGEN=ixia CHIP_REV=NA|X5|X7,gw4 gw5 gw6 gw7
11,qos/test_qos_save_reboot.py,1,1,8,1,D1T1:1 TGEN=ixia,gw4 gw5 gw6 gw7
12,routing/test_l3_performance.py,1,3,8,1,D1T1:2 CHIP_REV=!X2,gw4 gw5 gw6 gw7
13,routing/test_ndp.py,1,1,3,1,D1T1:2 TGEN=ixia,gw4 gw5 gw6 gw7
14,routing/test_arp.py,1,1,1,1,D1T1:2 TGEN=ixia,gw4 gw5 gw6 gw7
,,,69,131,,,
